name,time_to_1st_exposed_in_GreenZone
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit10_FateD_TcheckYES_PopSize2000_rand-200.dat,110
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit10_FateD_TcheckYES_PopSize2000_rand-250.dat,113
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit10_FateD_TcheckYES_PopSize2000_rand-300.dat,90
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit10_FateD_TcheckYES_PopSize2000_rand-350.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit10_FateD_TcheckYES_PopSize2000_rand-400.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit10_FateD_TcheckYES_PopSize2000_rand-450.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit10_FateD_TcheckYES_PopSize2000_rand-50.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit10_FateD_TcheckYES_PopSize2000_rand-500.dat,63
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit100_FateD_TcheckYES_PopSize2000_rand-100.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit100_FateD_TcheckYES_PopSize2000_rand-150.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit100_FateD_TcheckYES_PopSize2000_rand-200.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit100_FateD_TcheckYES_PopSize2000_rand-250.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit100_FateD_TcheckYES_PopSize2000_rand-300.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit100_FateD_TcheckYES_PopSize2000_rand-350.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit100_FateD_TcheckYES_PopSize2000_rand-400.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit100_FateD_TcheckYES_PopSize2000_rand-450.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit100_FateD_TcheckYES_PopSize2000_rand-50.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit100_FateD_TcheckYES_PopSize2000_rand-500.dat,84
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit2000_FateD_TcheckYES_PopSize2000_rand-100.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit2000_FateD_TcheckYES_PopSize2000_rand-150.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit2000_FateD_TcheckYES_PopSize2000_rand-200.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit2000_FateD_TcheckYES_PopSize2000_rand-250.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit2000_FateD_TcheckYES_PopSize2000_rand-300.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit2000_FateD_TcheckYES_PopSize2000_rand-350.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit2000_FateD_TcheckYES_PopSize2000_rand-400.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit2000_FateD_TcheckYES_PopSize2000_rand-450.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit2000_FateD_TcheckYES_PopSize2000_rand-50.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit2000_FateD_TcheckYES_PopSize2000_rand-500.dat,106
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit25_FateD_TcheckYES_PopSize2000_rand-100.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit25_FateD_TcheckYES_PopSize2000_rand-150.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit25_FateD_TcheckYES_PopSize2000_rand-200.dat,135
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit25_FateD_TcheckYES_PopSize2000_rand-250.dat,139
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit25_FateD_TcheckYES_PopSize2000_rand-300.dat,105
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit25_FateD_TcheckYES_PopSize2000_rand-350.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit25_FateD_TcheckYES_PopSize2000_rand-400.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit25_FateD_TcheckYES_PopSize2000_rand-450.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit25_FateD_TcheckYES_PopSize2000_rand-50.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit25_FateD_TcheckYES_PopSize2000_rand-500.dat,69
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit250_FateD_TcheckYES_PopSize2000_rand-100.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit250_FateD_TcheckYES_PopSize2000_rand-150.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit250_FateD_TcheckYES_PopSize2000_rand-200.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit250_FateD_TcheckYES_PopSize2000_rand-250.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit250_FateD_TcheckYES_PopSize2000_rand-300.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit250_FateD_TcheckYES_PopSize2000_rand-350.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit250_FateD_TcheckYES_PopSize2000_rand-400.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit250_FateD_TcheckYES_PopSize2000_rand-450.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit250_FateD_TcheckYES_PopSize2000_rand-50.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit250_FateD_TcheckYES_PopSize2000_rand-500.dat,106
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit50_FateD_TcheckYES_PopSize2000_rand-100.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit50_FateD_TcheckYES_PopSize2000_rand-150.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit50_FateD_TcheckYES_PopSize2000_rand-200.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit50_FateD_TcheckYES_PopSize2000_rand-250.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit50_FateD_TcheckYES_PopSize2000_rand-300.dat,122
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit50_FateD_TcheckYES_PopSize2000_rand-350.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit50_FateD_TcheckYES_PopSize2000_rand-400.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit50_FateD_TcheckYES_PopSize2000_rand-450.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit50_FateD_TcheckYES_PopSize2000_rand-50.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit50_FateD_TcheckYES_PopSize2000_rand-500.dat,75
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit500_FateD_TcheckYES_PopSize2000_rand-100.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit500_FateD_TcheckYES_PopSize2000_rand-150.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit500_FateD_TcheckYES_PopSize2000_rand-200.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit500_FateD_TcheckYES_PopSize2000_rand-250.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit500_FateD_TcheckYES_PopSize2000_rand-300.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit500_FateD_TcheckYES_PopSize2000_rand-350.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit500_FateD_TcheckYES_PopSize2000_rand-400.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit500_FateD_TcheckYES_PopSize2000_rand-450.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit500_FateD_TcheckYES_PopSize2000_rand-50.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_20_IsolateYES_Limit500_FateD_TcheckYES_PopSize2000_rand-500.dat,106
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_25_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-100.dat,63
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_25_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-150.dat,78
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_25_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-200.dat,55
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_25_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-250.dat,54
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_25_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-300.dat,49
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_25_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-350.dat,103
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_25_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-400.dat,90
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_25_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-450.dat,105
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_25_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-50.dat,89
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_25_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-500.dat,43
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_30_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-100.dat,61
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_30_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-150.dat,76
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_30_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-200.dat,53
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_30_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-250.dat,53
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_30_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-300.dat,48
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_30_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-350.dat,99
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_30_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-400.dat,87
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_30_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-450.dat,103
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_30_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-50.dat,87
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_30_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-500.dat,43
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-10.dat,9
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-100.dat,18
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-150.dat,26
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-200.dat,14
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-250.dat,16
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-300.dat,15
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-350.dat,30
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-400.dat,25
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-450.dat,61
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-5.dat,15
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-50.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_age2_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-500.dat,12
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-10.dat,10
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-100.dat,18
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-150.dat,27
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-200.dat,15
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-250.dat,16
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-300.dat,15
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-350.dat,32
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-400.dat,26
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-450.dat,62
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-5.dat,16
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-50.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont2_age3_IsolateNO_Limit0_FateD_TcheckYES_PopSize2000_rand-500.dat,12
